fileName,cropType,fieldID,region,fold_random,fold_busia_test,fold_bungoma_test,fold_siaya_test
kenya_2017_sentinel2_timeseries_0.npy,Maize,1,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_1.npy,Sweet Potatoes,2,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_2.npy,Maize,3,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_3.npy,Maize,4,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_4.npy,Maize,6,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_5.npy,Maize,7,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_6.npy,Sweet Potatoes,9,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_7.npy,Sweet Potatoes,14,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_8.npy,Maize,15,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_9.npy,Non-Crop,18,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_10.npy,Sweet Potatoes,23,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_11.npy,Sweet Potatoes,24,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_12.npy,Sweet Potatoes,25,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_13.npy,Sugar Cane,27,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_14.npy,Sweet Potatoes,28,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_15.npy,Sweet Potatoes,40,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_16.npy,Maize,50,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_17.npy,Maize,51,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_18.npy,Maize,52,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_19.npy,Maize,53,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_20.npy,Maize,54,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_21.npy,Maize,55,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_22.npy,Maize,56,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_23.npy,Other,57,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_24.npy,Maize,58,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_25.npy,Maize,59,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_26.npy,Maize,60,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_27.npy,Maize,61,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_28.npy,Sugar Cane,62,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_29.npy,Sugar Cane,63,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_30.npy,Other,64,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_31.npy,Maize,66,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_32.npy,Maize,67,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_33.npy,Maize,68,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_34.npy,Maize,69,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_35.npy,Sugar Cane,70,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_36.npy,Maize,71,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_37.npy,Non-Crop,76,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_38.npy,Maize,77,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_39.npy,Non-Crop,78,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_40.npy,Non-Crop,79,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_41.npy,Maize,80,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_42.npy,Maize,81,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_43.npy,Maize,83,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_44.npy,Maize,84,pilot,test,train,train,train
kenya_2017_sentinel2_timeseries_45.npy,Sugar Cane,85,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_46.npy,Sugar Cane,86,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_47.npy,Non-Crop,89,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_48.npy,Non-Crop,90,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_49.npy,Non-Crop,91,pilot,train,train,train,train
kenya_2017_sentinel2_timeseries_50.npy,Maize,93,pilot,test,train,train,train
